paper_file,authors,comparisons,dataset,environment,frame_sampling_method,hyperparameters,inferring_method,input_video_length,model_pipeline,qa_interaction,repository,retrieval_level,sound_audio_analysis,spatiotemporal_analysis,speech_audio_analysis,video_representation,video_segmentation,visual_analysis
Florence - A New Foundation Model for Computer Vision.md,Authors are from Microsoft Cloud and AI and Microsoft Research Redmond; no venue or year is explicitly stated.,"Florence was compared against baselines like CLIP and ALIGN, achieving state-of-the-art on ImageNet-1K zero-shot (83.74% top-1 accuracy), COCO detection (62.4 mAP), VQA (80.36), and Kinetics-600 (87.8% top-1 accuracy).","A new 900M image-text pair dataset (FLD-900M) and a 9M object detection dataset (FLOD-9M) were created; evaluation used ImageNet-1K, COCO, Kinetics-400/600, VQA, MSR-VTT, Flickr30K, and others.",The model was trained for 10 days on 512 NVIDIA-A100 GPUs with 40GB memory each.,Not mentioned.,"Pre-training used a batch size of 24,576, image resolutions of 224x224 and 384x384, and a maximum language description length of 76.","Inference is performed via standard forward pass of deep learning models, using a Dynamic Head adapter for object detection and classification heads for recognition tasks.",Not mentioned.,"Image/Text/Video inputs are processed by a two-tower architecture (CoSwin image encoder, Transformer language encoder) with task-specific adapters (Dynamic Head, METER, Video CoSwin) to produce outputs for classification, detection, retrieval, VQA, and action recognition.","No, the model performs static Visual Question Answering (VQA) by treating it as a classification task over a fixed set of answers, not as an interactive chat system.",Not mentioned.,"The system retrieves full videos or images based on text queries, or vice-versa, for end-user tasks.",Not mentioned.,"Yes, a Video CoSwin adapter uses 3D convolutional layers and 3D shifted local windows in self-attention layers to model video dynamics.",Not mentioned.,"Video content is represented using a Video CoSwin adapter, which extends the CoSwin image encoder with 3D convolutions and 3D shifted local attention windows.",Not mentioned.,"Yes, the model is used for visual-only tasks like classification and object detection using a CoSwin Transformer, a modified Swin Transformer, as the visual backbone."
HumanOmni - A Large Vision-Speech Language Model for Human-Centric Video Understanding.md,"The authors are affiliated with Tongyi Lab (Alibaba Group), Sun Yat-sen University, and Nankai University. The publication venue and year are not mentioned.","HumanOmni is compared against specialized models (Emotion-LLaMA, FaceTrack-MM), VLMs (Qwen2-VL), and Omni models (GPT4-O, VITA) on benchmarks like DFEW, MAFW, DFEC, and MVBench, showing significant gains such as +5.03 WAR on DFEW over MMA-DFER.","A new dataset of 2.4M human-centric video clips was created from Panda-70M. The model was also trained on Oryx, WavCaps, WenetSpeech, GigaSpeech, CommonVoice15, LibriSpeech, and VGGSound, and evaluated on DFEW, MAFW, DFEC, MVBench, and Fleurs.",Not mentioned.,"Not mentioned. The paper describes using keyframe detection to filter out videos with minimal temporal changes, but not as the frame sampling method for model input.",Not mentioned.,"Inferences about activities, emotions, and expressions are made by a large language model (Qwen2.5) which processes fused visual, audio, and text instruction tokens to generate a textual response.","Not mentioned. The paper processes ""video clips"" segmented from a large-scale dataset but does not specify their duration or mention processing videos longer than 60 minutes.","Multimodal inputs (video, audio, text) → Video is processed by three specialized branches (SigLIP encoder), audio by a Whisper encoder, and text instructions by BERT to create fusion weights → Fused features are projected and fed into a Qwen2.5 LLM decoder → Textual response.","Yes, the model has Q&A capabilities, processing user instructions and generating text responses using the Qwen2.5 large language model as its decoder.","Yes, a GitHub repository is provided: https://github.com/HumanMLLM/HumanOmni.","Not mentioned. The system is a generative model that outputs textual answers to user instructions about video content, rather than retrieving videos, clips, or timestamps.","Yes, non-speech audio is analyzed for tasks like automatic audio captioning and sound event classification using datasets such as WavCaps and VGGSound.","Yes, spatiotemporal analysis is performed using a spatial-temporal projector (STC) for the body-related and interaction-related branches to handle continuous actions and interaction scenes.","Yes, speech audio is analyzed using the audio preprocessor and encoder from Whisper-large-v3, and the model is trained and evaluated on automatic speech recognition (ASR) tasks.","Video content is represented by feature embeddings from three specialized visual branches (face, body, interaction), which are dynamically fused, projected, and concatenated with audio and text tokens before being fed to an LLM.",The paper uses scene recognition algorithms to segment long videos into shorter clips at scene boundaries to ensure temporal smoothness.,"The model is not visual-only; it processes vision, audio, and text. The visual backbone used is the SigLIP visual encoder."
Improving semantic video retrieval models by training with a relevance-aware online mining strategy.md,"The authors are affiliated with the University of Udine, Fondazione Bruno Kessler, and the Free University of Bozen-Bolzano in Italy. The paper was published in the Computer Vision and Image Understanding journal.","The proposed RANP strategy is compared to baseline training on HGR, Everything-at-once, CLIP4Clip, and ProST models across four datasets, showing significant gains like over +20% nDCG on EPIC-Kitchens-100.","The paper uses EPIC-Kitchens-100, MSR-VTT, MSVD, and Charades for experiments, and mentions pretraining on HowTo100M.","Training was performed using computing resources from CINECA, Amazon AWS, and NVIDIA. A single batch took 34.3 ms with the proposed method versus 13.4 ms for the baseline.","For MSVD and Charades, ViT-H-14 features were extracted at 3 fps; for other datasets, pre-extracted features were used without specifying the sampling method.","For HGR/EAO: 50 epochs, batch size 64. For CLIP4Clip/ProST: 5 epochs, batch size 128 (64 for MSVD/Charades). Frames were sampled at 3 fps for some datasets.","Activities are matched by computing similarity (e.g., cosine) between text query and video clip embeddings in a learned joint embedding space.","Not mentioned. The paper processes video clips from standard datasets, which are typically short, but does not specify their lengths or mention processing videos ≥ 60 minutes.","Text query and videos → Cross-modal models (HGR, EAO, CLIP4Clip, ProST) encode inputs into a joint embedding space → A ranked list of relevant videos is output based on embedding similarity.","Not mentioned. The system performs text-to-video retrieval from a single query, not interactive Q&A.","Yes, code and trained models are available at https://github.com/aranciokov/ranp/.",The system returns a ranked list of video clips to the user.,Not mentioned.,"Yes, spatiotemporal analysis is performed using models like ProST which decouples spatial and temporal modeling, and by using features from 3D-ResNeXt-101 and Swin3D.",Not mentioned.,"Videos are represented as dense embeddings in a joint text-video embedding space, learned by models like HGR, Everything-at-once, CLIP4Clip, and ProST.",Not mentioned. The paper uses pre-segmented video clips from existing datasets without describing the segmentation process.,"The system is cross-modal, not visual-only, using backbones like ResNet-152, 3D-ResNeXt-101, ViT-H-14, Swin3D, and ViT-B/32."
Known-Item Video Search via Query-to-Modality Mapping.md,"The authors are from the Institute for Infocomm Research, Singapore. The paper was published at the MM'11 conference in 2011.","On TRECVid 2010 KIS, the proposed system (MIR@100 41.3) significantly outperforms other participants (MIR@100 29.4, 25.8, 25.0) and a baseline using the original, un-segmented query (MIR@100 27.7).","The primary dataset is TRECVid 2010 KIS. Additionally, two custom ground truth datasets (D1, D2) were created for query annotation, Google Images were used for training visual detectors, and the English Wikipedia 2010-10-11 dump was used for term frequency features.",Not mentioned.,Not mentioned.,"Not mentioned. The paper does not specify training hyperparameters like learning rate, batch size, or epochs.","Query terms are mapped to modalities using surface patterns, syntactic dependency parsing, and a supervised learning classifier (TiMBL) to identify and rank key terms for different modalities.","The dataset contains 8000 videos totaling 300 hours, with an average length of approximately 2.25 minutes per video.","A verbose text query is decomposed into uni-modal subqueries using syntactic analysis; each subquery is issued to a corresponding modality index (metadata, ASR, OCR, HLF), and the retrieved lists are combined via linear fusion to produce a final ranked list of videos.",Not mentioned. The system performs one-shot retrieval from a verbose text query without any interactive or conversational capabilities.,Not mentioned.,The system returns a ranked list of whole videos to the user; the specific retrieval framework is not mentioned.,Not mentioned. The paper only discusses audio analysis for speech content via ASR.,Not mentioned. The visual analysis relies on static frame features like concept detectors and OCR.,"Yes, an Automatic Speech Recognition (ASR) engine, HTK version 3.4, is used to generate transcripts from spoken audio for indexing.","Videos are represented via multiple separate indexes corresponding to different modalities: text-based metadata, ASR transcripts, OCR text, and scores from high-level feature (HLF) concept detectors.","Not mentioned. The paper focuses on segmenting the user query, not the video content.","The system is multi-modal, not visual-only. Visual analysis uses custom linear SVM detectors on SIFT/color/texton features, pre-existing HLF concept detectors, and a neural network-based OCR engine."
Local-Global Video-Text Interactions for Temporal Grounding.md,The authors are affiliated with POSTECH and Seoul National University in Korea. The venue and year are not mentioned.,"The method outperforms state-of-the-art models on Charades-STA and ActivityNet Captions, with reported gains of 7.44% and 4.61% points respectively in Recall@tIoU=0.5.",The model is evaluated on the Charades-STA and ActivityNet Captions datasets.,"The model was trained on a single Titan Xp GPU, taking approximately 3 hours for Charades-STA and 10 hours for ActivityNet Captions.",The method performs uniform sampling of a fixed number of segments (T) from the video.,"Batch size is 32, learning rate is 0.001 (Adam), trained for 100 epochs. Number of sampled segments T is 64/128, number of semantic phrases N is 3/5, and feature dimension d is 512.","The time interval is inferred using a regression-based deep neural network that predicts start and end points from temporally attended, semantics-aware segment features via an MLP.","The model processes untrimmed videos; if a video has fewer than the target number of segments (T), the missing parts are padded with zero vectors.",Video and text query → 3D CNN and Bi-LSTM encoders → Sequential Query Attention Network (SQAN) extracts phrase features → Local-global video-text interaction fuses features → Temporal attention and MLP regress start/end timestamps.,Not mentioned.,"Yes, a GitHub repository link is provided in the paper.",The system returns a predicted time interval by regressing the start and end timestamps.,Not mentioned.,"Yes, spatiotemporal analysis is performed using a 3D CNN for segment features, a ResBlock with temporal convolutions for local context, and a Non-Local block for global context.",Not mentioned.,"Videos are represented by a sequence of T uniformly sampled segment features from a 3D CNN (I3D or C3D), combined with learnable temporal position embeddings.",Untrimmed videos are divided into a sequence of fixed-length segments (16 frames) with a 50% overlap between adjacent segments.,"Yes, the model uses visual-only modality, employing pre-trained I3D features for Charades-STA and C3D features for ActivityNet Captions."
Masking Modalities for Cross-modal Video Retrieval.md,The authors are affiliated with Inria and Google Research. The publication venue and year are not mentioned in the provided text.,"Compared against MoEE, MMT, SSB, and others on How2R, CMD, YouCook2, MSR-VTT, and ActivityNet. The proposed method shows significant gains on speech-heavy datasets like YouCook2 (+7.6 R@10 vs MMT) and How2R (+3.7 R@10 vs MMT).","Pre-training on HowTo100M; fine-tuning and evaluation on How2R, MSR-VTT, Condensed Movies Dataset (CMD), YouCook2, and ActivityNet captions. No new datasets were created.","Pre-training took 12 days on 8 V-100 GPUs, while fine-tuning on downstream datasets took approximately 4 hours on a single V-100 GPU.",The method extracts one RGB feature per second using S3D and one audio feature per second using VGGish.,"For pre-training: batch size 1,200, LR 1e-4. For fine-tuning: batch size 24-64, LR 5e-5. Uses Adam optimizer, a 4-layer/4-head MMT, and processes a maximum of 30 RGB/audio features and 128 ASR features per clip.","Inferences are made by ranking video clips based on their similarity to a text query in a joint embedding space, learned by a Multi-Modal Transformer using a max-margin loss.","The model processes video segments of up to 30 seconds, which are cropped from long-form instructional videos for pre-training. No videos ≥ 60 minutes are processed at once.","Video clips and text queries → Pre-extracted features (S3D, VGGish, BERT) are encoded by a Multi-Modal Transformer and query encoder, trained via modality masking → A ranked list of video clips based on embedding similarity.","Not mentioned. The paper focuses on text-to-video retrieval, not interactive Q&A.",Not mentioned.,The system returns a ranked list of video clips based on their similarity to a text query in a learned embedding space.,"Yes, non-speech audio features are extracted using the VGGish model, which was pre-trained on the YouTube8M dataset.","Yes, spatiotemporal analysis is performed using the S3D model for feature extraction and a Multi-Modal Transformer (MMT) that uses self-attention to model interactions across time.","Yes, ASR transcripts from YouTube closed captions are encoded into wordpiece features using a pre-trained BERT-base-cased model.","Video content is represented by a holistic clip embedding from a Multi-Modal Transformer (MMT) that fuses feature sequences from S3D (RGB), VGGish (audio), and BERT (ASR).","For pre-training, videos are randomly cropped into 30-second segments. For fine-tuning and evaluation, the model uses the pre-segmented clips provided by the respective datasets.","The paper is not visual-only; it uses RGB, audio, and ASR modalities. The visual backbone for extracting RGB features is the S3D model."
MDMMT Multidomain Multimodal Transformer for Video Retrieval.md,The authors are from Lomonosov Moscow State University and Huawei Moscow Research Center. The paper is a preprint and does not specify a venue or year.,"The model is compared to baselines including the original MMT, CLIP, and CE on MSRVTT, LSMDC, and ActivityNet datasets, achieving state-of-the-art results, such as an 8.7% R@5 improvement on MSRVTT full split over MMT.","The model is trained on a combination of MSRVTT, ActivityNet, LSMDC, TwitterVines, YouCook2, MSVD, TGIF, and Something-something V2, and is pretrained on HowTo100M. It is tested on MSRVTT, LSMDC, and ActivityNet.",Not mentioned.,"Motion experts process several input frames as a single unit, while the RGB modality (CLIP) uses a single frame from the middle of the video or aggregates uniformly sampled frames.","The model uses a dropout of 0.2, a 9-layer/8-head video transformer, 50 epochs, an initial learning rate of 5e-5 with a decay of 0.95 per epoch, and 150K examples per epoch for the largest training configuration.",Not mentioned. The model does not explicitly infer roles or activities; it learns to align video and text embeddings in a shared space for retrieval via contrastive learning.,"Not mentioned. The model processes pre-defined ""video segments"" from various datasets, which are typically short clips, but specific durations are not stated.","Input video and text query → Pretrained experts extract features (CLIP/irCSN152 for video, BERT for text) → A Multi Modal Transformer fuses video features, and both modalities are projected into a shared embedding space → Cosine similarity is used for retrieval.",Not mentioned. The system performs text-to-video retrieval based on a single textual query and does not support interactive Q&A or chat.,"Not mentioned, though the paper states it is significantly based on the original MMT codebase.","The system returns relevant video segments from a gallery for a given textual query, using cosine similarity between precomputed video embeddings and the query embedding.","Yes, the final model uses an audio modality with VGGish as the feature extractor to process the raw sound from the video.","Yes, a Multi Modal Transformer (MMT) backbone with a transformer encoder aggregates temporal information from motion expert features (e.g., irCSN152) and other modalities.","Not mentioned. The original MMT architecture used a speech expert, but this paper's final model only explicitly mentions using a general audio modality.","Videos are represented as time series of feature embeddings extracted by pretrained experts (motion, RGB, audio), which are then augmented with positional and expert tokens and passed through a Multi Modal Transformer.",Not mentioned. The model retrieves pre-segmented video clips from datasets rather than performing segmentation itself.,"No, the model is multimodal, but it uses visual-only backbones like CLIP (ViT-B/32) for the RGB modality and various video recognition models (e.g., irCSN152) for the motion modality."
MMMORRF Multimodal Multilingual Modularized Reciprocal Rank Fusion.md,"Authors are from Stanford University, UC Berkeley, Johns Hopkins University, Georgetown University, and Brigham Young University (BYU). The paper is for the SIGIR '25 conference.","Compared against InternVideo2, VAST, and LanguageBind on MultiVENT 2.0 and TVR. MMMORRF improves nDCG@10 by 81% over the best vision-language model and 37% over the best single-modality system on MultiVENT 2.0.","The system is evaluated on two existing datasets: MultiVENT 2.0, a large-scale multilingual event-centric video retrieval dataset, and TVR, a multimodal TV show retrieval dataset.",Eight NVIDIA V100 GPUs are used for indexing and encoding. Query serving uses a V100 GPU and has a latency of approximately 300 ms per query. Preprocessing takes about 37 seconds per video.,The system uniformly samples 16 frames per video for both visual content analysis and Optical Character Recognition (OCR).,The system samples 16 frames per video and uses a smoothing hyperparameter k=0 for Weighted Reciprocal Rank Fusion. Other training hyperparameters are not mentioned.,Not mentioned. The system performs retrieval by matching query embeddings to multi-modal content embeddings rather than inferring structured information like roles or activities.,"Not mentioned. The paper uses datasets containing professionally edited news reports, raw mobile footage, and TV shows, but does not specify the duration of the videos processed.","Video → Parallel extraction of SigLIP frame embeddings, Whisper ASR text, and PaddleOCR text → Indexing with FAISS and ColBERT-X/PLAID-X → Modality-aware Weighted Reciprocal Rank Fusion (WRRF) of retrieval scores → Ranked list of videos.","Not mentioned. The paper describes a retrieval system that accepts a textual query and returns a ranked list of videos, not an interactive question-answering or chat system.","A GitHub repository for the implementation is mentioned, but the URL is not provided in the text. A demonstration video is available on YouTube.",The system retrieves a ranked list of videos. It uses FAISS for visual frame embedding retrieval and PLAID-X for retrieving from extracted ASR and OCR text.,"Not mentioned. Although the ASR model (Whisper) can handle non-speech audio, the system does not include a dedicated component for analyzing non-speech sounds like music or sound effects.","Not mentioned. The system processes 16 uniformly sampled frames independently using the image-based SigLIP model and aggregates scores via MaxFrame, without explicitly modeling temporal dynamics.","Yes, the system uses OpenAI's Whisper Large-v2 model to perform multilingual automatic speech recognition (ASR) and transcribe audio content from videos.",Video content is represented using SigLIP embeddings for sampled frames and multilingual ColBERT-X multi-vector embeddings for text extracted via ASR and OCR.,Not mentioned. The paper considers key-frame detection tools like PySceneDetect but ultimately samples frames from the entire video rather than segmenting it into shorter clips.,"Yes, the system has a visual sub-pipeline that uses SigLIP to encode video frames and PaddleOCR with a vision transformer for multilingual text recognition from frames."
Multi-granularity Correspondence Learning from Long-term Noisy Videos.md,The authors are affiliated with Sichuan University and Ant Group. The publication venue and year are not explicitly stated.,"The model is compared to baselines like VideoCLIP and TempCLR on YouCookII, MSR-VTT, and COIN datasets, reporting gains such as a +5.2% R@1 improvement in video-paragraph retrieval (DTW) over TempCLR on YouCookII.","The model is pre-trained on HowTo100M and evaluated on YouCookII (retrieval), MSR-VTT (retrieval, VideoQA), and COIN (action segmentation).","Not mentioned. The paper refers to an Appendix for training efficiency results, which is not included in the provided text.",Not mentioned. The paper discusses video clips of length 'f' but does not specify how frames are sampled within those clips.,"Not mentioned. The paper refers to an Appendix for comprehensive training details, which is not included in the provided text.",Activities are inferred for the action segmentation task by applying a one-layer classification head on top of the pre-trained visual encoder.,"The method is designed for long-form videos to learn long-term temporal dependencies, using datasets like HowTo100M and COIN, which contains 476 hours of video. Specific per-video durations are not mentioned.","Long video/paragraph inputs are segmented into clips/captions and encoded into embeddings. Optimal Transport with a soft-maximum operator and an alignable prompt bucket computes similarity for video-paragraph and clip-caption contrastive learning, producing robust multi-modal representations.",Not mentioned. The model is evaluated on a standard multiple-choice VideoQA benchmark but does not have interactive Q&A or chat capabilities.,A code repository is provided at https://lin-yijie.github.io/projects/Norton.,The system returns results at both the full video level (video-paragraph retrieval) and the short clip level (clip-caption retrieval).,Not mentioned. The paper focuses on visual and ASR-derived text modalities.,"The model performs temporal analysis at the clip level by using Optimal Transport (OT) to measure sequence distance and find alignments between video clips and text captions, capturing long-term dependencies.",Automated Speech Recognition (ASR) is used as a preprocessing step to generate text captions and their corresponding timestamps from the audio track.,Video content is represented using learned embeddings for video clips. A similarity matrix between clip and caption embeddings is computed and used within an Optimal Transport framework for contrastive learning.,Long videos are segmented into a sequence of short video clips based on Automated Speech Recognition (ASR) timestamps.,"The model is multi-modal, not visual-only, and uses S3D-G as the visual backbone to encode video clips."
PreMind Multi-Agent Video Understanding for Advanced Indexing of Presentation-style Videos.md,"Authors are from Bosch Research North America, Bosch Center for Artificial Intelligence (BCAI), and the Department of Computer Science and Engineering at Texas A&M University. The venue and year are not stated.","The proposed segmentation method was compared against PySceneDetect, achieving a +15.68 F1 score gain on the LPM dataset. Internal system configurations were compared against a baseline using human evaluation and QA accuracy.",The public LPM dataset and an unnamed enterprise internal (EI) dataset were used for evaluation.,Not mentioned. The paper does not specify the hardware (GPUs/TPUs) or total training/inference times.,A single representative video frame is sampled from each video segment for visual analysis.,"Not mentioned. The paper states that parameters were determined empirically and details are provided in an appendix, which is not included in the provided text.","Content is inferred using a multi-agent framework where LLMs/VLMs (GPT-4 Turbo) perform vision understanding, knowledge extraction, ASR error correction, and iterative self-reflection via a critic agent.",The system processes lecture videos of various lengths; experiments used the first 10 minutes of videos for segmentation evaluation and processed video collections totaling up to 28.17 hours. No single processed video is explicitly stated to be ≥ 60 minutes.,"Input videos → PySceneDetect and VLM segment videos into slide-based clips → A multi-agent system with LLMs/VLMs analyzes each clip → Vision, speech, and consolidated textual indexes are generated for downstream QA.","The system enables a downstream retrieval-augmented QA task using GPT-4 Turbo to generate answers from indexed content, but it is not described as an interactive chat system.",Not mentioned. No links to code or data are provided.,"The system performs internal retrieval of textual indexes (vision, speech, consolidated) for a downstream QA task; the user-facing retrieval level is not specified, and no retrieval framework is named.",Not mentioned. The paper focuses only on speech content via ASR.,Not mentioned. The method analyzes a single representative static frame per segment and does not model motion or temporal dynamics.,"Yes, the system uses the Whisper ASR model to transcribe speech, which is then used for audio understanding and for a VLM-based ASR error correction mechanism.","Videos are represented as a collection of textual indexes for each slide segment, including a vision understanding description, a speech transcript, and a consolidated information summary, all generated by large models.","Videos are segmented by slide presentation using PySceneDetect for an initial pass, followed by a Vision-Language Model (VLM) to refine the results by merging segments or re-detecting missed slides in long segments.","Yes, the system performs visual-only analysis of slide content using a Vision-Language Model (VLM); specifically, GPT-4 Vision for segmentation and GPT-4 Turbo for understanding."
Question-Aware_Global-Local_Video_Understanding_Network_for_Audio-Visual_Question_Answering.md,"Authors are affiliated with the University of Wollongong, University of Electronic Science and Technology of China, and Beijing Normal University–Hong Kong Baptist University United International College. The paper was published in IEEE TCSVT in 2023.","The model is compared against single-modality (AudioQA, VisualQA, VideoQA) and multimodal (AVSD, Pano-AVQA, HCRN+HAVF, ST-AVQA) baselines on the MUSIC-AVQA and AVQA datasets, achieving an averaged absolute gain of 3.3% and 3.1% respectively.","The study uses two existing public datasets: MUSIC-AVQA, which contains videos of concert scenarios, and AVQA, which contains videos of real-world scenarios.",The model was trained using two Nvidia RTX 3090 Ti GPUs with the Adam optimizer; total training time was not mentioned.,Frames are sampled uniformly at a rate of 1 frame per second (fps).,"Batch size is 24, initial learning rate is 0.0001 (decaying by 0.1 every 8 epochs), trained for 15 epochs, with 512-D features, 4 attention heads, and loss scaling factors λglb = λloc = 0.1.","Inferences are made by a deep learning model that uses question-aware attention to fuse global and local audio-visual features, which are then passed to a classifier to predict an answer.","Original videos are approximately 60 seconds long, from which 10 one-second segments are processed per video. No videos longer than 60 minutes are mentioned.","Audio, visual, and text inputs are encoded, then processed in parallel global and local branches using co-attention and question-aware attention; the resulting features are fused under question guidance and fed to a classifier to predict an answer.","Not mentioned. The system performs question answering as a classification task, selecting an answer from a predefined candidate pool, and does not have interactive chat capabilities.","The paper states that the code will be publicly released, but does not provide a repository link.","The system performs answer prediction, not retrieval. It outputs a textual answer selected from a predefined candidate pool.","Non-speech audio analysis is performed using a pre-trained VGGish model to extract features from general sounds, such as music in concert scenarios.",Spatiotemporal analysis is performed using self-attention and co-attention mechanisms to model long-range dependencies and interactions between sequences of audio and visual features.,"Not mentioned. The paper uses VGGish for general audio feature extraction, which is not specific to speech content.","Video content is represented by sequences of audio (VGGish) and visual (ResNet-18) feature embeddings, which are processed into aligned global and local representations using attention and contrastive learning.","Original 60-second videos are pre-divided into 60 non-overlapping one-second segments, from which 10 segments are sampled by taking one segment every six seconds for processing.","The paper uses a multimodal approach, not visual-only. The visual backbone is a pre-trained ResNet-18, which is kept frozen during training."
Semantic Mapping in Video Retrieval.md,The author is Maaike H.T. de Boer from TNO & Radboud University. The paper is a doctoral abstract.,i-w2v is compared to state-of-the-art word2vec and knowledge-based techniques (+12% gain). ARF is compared to k-NN and concept-level annotation methods (+26% gain). Modality fusion is also evaluated (+17% gain).,"The TRECVID Multimedia Event Detection (MED) benchmark was used for evaluation, and the word2vec model was trained on GoogleNews items.",Not mentioned.,Not mentioned.,Not mentioned.,High-level events are inferred by semantically mapping a textual query to a set of pre-trained concepts using word embeddings (i-w2v) and an adaptive relevance feedback algorithm (ARF).,"Not mentioned. The text refers to ""video stream data"" but provides no specific details on video length.",Ad-hoc textual query → Semantic mapping to pre-trained concepts using i-w2v and ARF with user feedback → Modality fusion (JRER) → Video retrieval.,"Not mentioned. The system handles ad-hoc textual queries for retrieval, but no interactive Q&A or chat capabilities are described.",Not mentioned.,The system performs video-level retrieval for high-level events.,Not mentioned.,"Not mentioned as a core method, but identified as an area for future work.",Not mentioned.,"Videos are indexed via a ""Concept Bank"" containing pre-trained concepts like people, objects, and actions. The system maps user queries to these concepts for retrieval.",Not mentioned.,Not mentioned. The work focuses on mapping queries to pre-trained visual concepts without specifying the visual models used to generate them.
Semantic Multimedia Retrieval using Lexical Query Expansion and Model-Based Reranking.md,The authors are from Columbia University and the IBM Thomas J. Watson Research Center; the venue and year are not stated.,"The model-based re-ranking approach was compared to a text-search baseline on TRECVID 2005 topics, achieving a 49% improvement in Mean Average Precision across all topics.","The TRECVID 2005 broadcast news dataset was used, containing 140 video clips, with 39 concepts from the LSCOM-lite lexicon.",Not mentioned.,Not mentioned.,The system uses the top 3 most similar concepts per query and simple non-weighted score averaging for fusion.,"Relevance is inferred by fusing SVM-based concept detection scores with query-to-concept relevance scores, which are calculated using WordNet and an adapted Lesk semantic relatedness measure.",The system processes long-form broadcast news videos with individual durations of 30 minutes to 1 hour each.,Text query → Lexical expansion using WordNet → Query-to-concept mapping via Lesk similarity → Fusion of concept detection scores with text search results → Ranked list of video shots.,"Not mentioned. The system performs search and retrieval, not interactive Q&A.",Not mentioned.,The system returns a ranked list of video shots; the text search baseline uses the JuruXML search engine.,Not mentioned.,Not mentioned.,"Yes, automatic speech recognition (ASR) transcripts are used for the text-based retrieval baseline.",Video shots are represented by a vector of detection confidence scores for 39 semantic concepts.,"The video collection was pre-segmented into 45,765 shots.","Yes, the system uses visual-only analysis via support vector machine (SVM) based models to detect 39 semantic concepts."
Smart Routing for Multimodal Video Retrieval When to Search What.md,Kevin Dela Rosa from Cloudglue; the publication venue and year are not stated.,"Compared to All-Text, Late Fusion, ASR Only, Visual Only (SigLIP), and OCR Only baselines, achieving 60.9% Recall@5 while reducing computational cost by 41%.","An unnamed, newly created dataset of 1.8 million video clips from 29,259 source videos, along with 2,195 hand-annotated retrieval queries.",Not mentioned.,"Visual embeddings are generated from frames sampled at 1 frame per second, which are then mean-pooled.",Not mentioned.,An LLM router (GPT-4.1) infers user intent by analyzing the linguistic structure of a query to predict the most relevant modalities.,Not mentioned.,"Natural language query → GPT-4.1 router selects modalities (ASR, OCR, Visual) → Parallel index search → Rank-based fusion of results → Ranked list of video clips.","The system uses GPT-4.1 to analyze a user's natural language query for one-shot modality routing, not for conversational Q&A.",Not mentioned.,The system retrieves a ranked list of video clips by combining results from selected modality indices using rank-based fusion.,Not mentioned; the paper identifies fine-grained audio analysis of music and sound effects as a direction for future work.,Spatiotemporal analysis is performed by mean-pooling frame-level visual embeddings from the SigLIP SoViT-400m model.,"Yes, the system uses ASR-generated transcripts of spoken content, which are then encoded using OpenAI text-embedding-3-large.",Content is represented via separate indices: text embeddings (OpenAI text-embedding-3-large) for ASR/OCR and visual embeddings (SigLIP SoViT-400m) for visual content.,"The ASR index is built using sentence-level segmentation, but the method for segmenting source videos into clips is not specified.","Yes, the system analyzes the visual-only modality using SigLIP SoViT-400m large as the visual backbone."
Spoken Moments -  Learning Joint Audio-Visual Representations from Video Descriptions.md,"The authors are affiliated with MIT, UT Austin, and IBM Research; the publication venue and year are not mentioned.","The proposed Adaptive Mean Margin (AMM) loss is compared against NCE, SHN, and MMS baselines, consistently showing improved performance. Models trained on S-MiT show better generalization than models trained on Vatex, ActivityNet, and MSR-VTT.","The paper introduces the Spoken Moments in Time (S-MiT) dataset and uses Vatex-en, MSR-VTT, and ActivityNet Captions for cross-dataset evaluation and comparison.",Not mentioned.,The video model samples 8 frames for the TSM model at approximately 3 fps and 3 frames for the image model at 1 fps.,"Not mentioned. The paper specifies the number of frames sampled (8 for TSM, 3 for image model) and caption input details (10 words or 10 seconds of speech), but not training hyperparameters like batch size, learning rate, or epochs.","Not mentioned. The system aligns video and caption representations in a joint embedding space via contrastive learning for retrieval, rather than explicitly inferring roles or activities.",The paper primarily processes unique 3-second video clips from the Spoken Moments in Time dataset; no processed videos are longer than 60 minutes.,"Video clips and spoken captions are encoded by separate models (TSM ResNet-50 and BART) into feature vectors, which are aligned in a joint embedding space using an Adaptive Mean Margin contrastive loss for cross-modal retrieval.","Not mentioned. The paper focuses on video and caption retrieval tasks, not interactive question-answering or chat capabilities.",Not mentioned.,"The system performs retrieval at the video clip level, enabling both caption-to-video and video-to-caption retrieval tasks.","Not mentioned. The paper analyzes spoken captions from annotators, not the background sound, music, or effects from the original video audio streams.",Spatiotemporal analysis is performed using a temporal shift module (TSM) ResNet-50 model to integrate temporal information from frame sequences.,"Speech is analyzed using the public Google ASR engine for transcriptions that are fed into language models (BART, BERT), and also directly using spoken caption models like ResDavenet and wav2vec.","Videos are represented as 4096-D embedding vectors, created by concatenating features from a ResNet-152 and a TSM ResNet-50, which are then passed through an MLP projection head.",The paper uses pre-segmented 3-second video clips sourced from the Moments in Time dataset.,The paper is not visual-only; it uses a ResNet-152 for image features and a temporal shift module (TSM) ResNet-50 for video features as visual backbones.
